Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:01:09.172,2023-04-26 17:01:08.8,372,1,15+1+8.8
2023-04-26 17:01:09.338,2023-04-26 17:01:09.0,338,1,15+1+9.0
2023-04-26 17:01:09.338,2023-04-26 17:01:09.0,338,1,15+1+9.0
2023-04-26 17:01:09.372,2023-04-26 17:01:09.0,372,1,15+1+9.0
2023-04-26 17:01:09.438,2023-04-26 17:01:09.2,238,1,15+1+9.2
2023-04-26 17:01:09.673,2023-04-26 17:01:09.4,273,1,15+1+9.4
2023-04-26 17:01:09.876,2023-04-26 17:01:09.6,276,1,15+1+9.6
2023-04-26 17:01:10.065,2023-04-26 17:01:09.8,265,1,15+1+9.8
2023-04-26 17:01:10.733,2023-04-26 17:01:10.0,733,1,15+1+10.0
2023-04-26 17:01:10.776,2023-04-26 17:01:10.0,776,1,15+1+10.0
2023-04-26 17:01:10.776,2023-04-26 17:01:10.0,776,1,15+1+10.0
2023-04-26 17:01:10.842,2023-04-26 17:01:10.2,642,1,15+1+10.2
2023-04-26 17:01:10.842,2023-04-26 17:01:10.4,442,1,15+1+10.4
2023-04-26 17:01:10.842,2023-04-26 17:01:10.6,242,1,15+1+10.6
2023-04-26 17:01:11.032,2023-04-26 17:01:10.8,232,1,15+1+10.8
2023-04-26 17:01:11.296,2023-04-26 17:01:11.0,296,1,15+1+11.0
2023-04-26 17:01:11.296,2023-04-26 17:01:11.0,296,1,15+1+11.0
2023-04-26 17:01:11.296,2023-04-26 17:01:11.0,296,1,15+1+11.0
2023-04-26 17:01:11.51,2023-04-26 17:01:11.2,310,1,15+1+11.2
2023-04-26 17:01:11.67,2023-04-26 17:01:11.4,270,1,15+1+11.4
2023-04-26 17:01:11.839,2023-04-26 17:01:11.6,239,1,15+1+11.6
2023-04-26 17:01:12.107,2023-04-26 17:01:11.8,307,1,15+1+11.8
2023-04-26 17:01:12.365,2023-04-26 17:01:12.0,365,1,15+1+12.0
2023-04-26 17:01:12.399,2023-04-26 17:01:12.0,399,1,15+1+12.0
2023-04-26 17:01:12.399,2023-04-26 17:01:12.2,199,1,15+1+12.2
2023-04-26 17:01:12.677,2023-04-26 17:01:12.4,277,1,15+1+12.4
2023-04-26 17:01:13.042,2023-04-26 17:01:12.6,442,1,15+1+12.6
2023-04-26 17:01:13.112,2023-04-26 17:01:12.8,312,1,15+1+12.8
2023-04-26 17:01:13.374,2023-04-26 17:01:13.0,374,1,15+1+13.0
2023-04-26 17:01:13.374,2023-04-26 17:01:13.0,374,1,15+1+13.0
2023-04-26 17:01:13.706,2023-04-26 17:01:13.4,306,1,15+1+13.4
2023-04-26 17:01:13.939,2023-04-26 17:01:13.6,339,1,15+1+13.6
2023-04-26 17:01:14.082,2023-04-26 17:01:13.8,282,1,15+1+13.8
2023-04-26 17:01:14.273,2023-04-26 17:01:14.0,273,1,15+1+14.0
2023-04-26 17:01:14.307,2023-04-26 17:01:14.0,307,1,15+1+14.0
2023-04-26 17:01:14.307,2023-04-26 17:01:14.0,307,1,15+1+14.0
2023-04-26 17:01:14.517,2023-04-26 17:01:14.2,317,1,15+1+14.2
2023-04-26 17:01:14.684,2023-04-26 17:01:14.4,284,1,15+1+14.4
2023-04-26 17:01:15.077,2023-04-26 17:01:14.8,277,1,15+1+14.8
2023-04-26 17:01:15.241,2023-04-26 17:01:15.0,241,1,15+1+15.0
2023-04-26 17:01:15.308,2023-04-26 17:01:15.0,308,1,15+1+15.0
2023-04-26 17:01:15.308,2023-04-26 17:01:15.0,308,1,15+1+15.0
2023-04-26 17:01:15.483,2023-04-26 17:01:15.2,283,1,15+1+15.2
2023-04-26 17:01:15.646,2023-04-26 17:01:15.4,246,1,15+1+15.4
2023-04-26 17:01:16.223,2023-04-26 17:01:15.6,623,1,15+1+15.6
2023-04-26 17:01:16.223,2023-04-26 17:01:15.8,423,1,15+1+15.8
2023-04-26 17:01:16.285,2023-04-26 17:01:16.0,285,1,15+1+16.0
2023-04-26 17:01:16.285,2023-04-26 17:01:16.0,285,1,15+1+16.0
2023-04-26 17:01:16.322,2023-04-26 17:01:16.0,322,1,15+1+16.0
2023-04-26 17:01:16.46,2023-04-26 17:01:16.2,260,1,15+1+16.2
2023-04-26 17:01:16.678,2023-04-26 17:01:16.4,278,1,15+1+16.4
2023-04-26 17:01:16.884,2023-04-26 17:01:16.6,284,1,15+1+16.6
